id,label,dataset_name,folder,google
0,real,ffhq,test,test
1,real,ffhq,train,validation
2,real,ffhq,test,test
3,real,ffhq,test,test
4,real,ffhq,train,training
5,real,ffhq,train,training
6,real,ffhq,train,training
7,real,ffhq,train,training
8,real,ffhq,test,test
9,real,ffhq,train,training
10,real,ffhq,train,training
11,real,ffhq,train,training
12,real,ffhq,train,validation
13,real,ffhq,train,training
14,real,ffhq,train,training
15,real,ffhq,train,validation
16,real,ffhq,train,training
17,real,ffhq,train,training
18,real,ffhq,train,training
19,real,ffhq,train,training
20,real,ffhq,train,training
21,real,ffhq,train,training
22,real,ffhq,train,training
23,real,ffhq,train,training
24,real,ffhq,train,training
25,real,ffhq,test,test
26,real,ffhq,test,test
27,real,ffhq,train,training
28,real,ffhq,train,training
29,real,ffhq,test,test
30,real,ffhq,train,training
31,real,ffhq,test,test
32,real,ffhq,train,training
33,real,ffhq,train,training
34,real,ffhq,train,training
35,real,ffhq,train,training
36,real,ffhq,train,validation
37,real,ffhq,train,training
38,real,ffhq,test,test
39,real,ffhq,train,training
40,real,ffhq,train,training
41,real,ffhq,train,training
42,real,ffhq,train,training
43,real,ffhq,train,training
44,real,ffhq,train,training
45,real,ffhq,test,test
46,real,ffhq,train,training
47,real,ffhq,train,training
48,real,ffhq,train,validation
49,real,ffhq,train,training
50,real,ffhq,train,training
51,real,ffhq,test,test
52,real,ffhq,train,training
53,real,ffhq,train,training
54,real,ffhq,train,training
55,real,ffhq,train,training
56,real,ffhq,train,training
57,real,ffhq,train,validation
58,real,ffhq,train,training
59,real,ffhq,train,training
60,real,ffhq,test,test
61,real,ffhq,train,training
62,real,ffhq,train,training
63,real,ffhq,train,training
64,real,ffhq,train,training
65,real,ffhq,test,test
66,real,ffhq,train,training
67,real,ffhq,train,training
68,real,ffhq,train,training
69,real,ffhq,train,training
70,real,ffhq,test,test
71,real,ffhq,train,validation
72,real,ffhq,train,training
73,real,ffhq,train,training
74,real,ffhq,train,training
75,real,ffhq,train,training
76,real,ffhq,train,training
77,real,ffhq,train,training
78,real,ffhq,train,training
79,real,ffhq,train,training
80,real,ffhq,train,training
81,real,ffhq,train,training
82,real,ffhq,train,training
83,real,ffhq,test,test
84,real,ffhq,test,test
85,real,ffhq,test,test
86,real,ffhq,test,test
87,real,ffhq,train,validation
88,real,ffhq,train,training
89,real,ffhq,test,test
90,real,ffhq,train,training
91,real,ffhq,train,training
92,real,ffhq,train,validation
93,real,ffhq,train,training
94,real,ffhq,train,training
95,real,ffhq,test,test
96,real,ffhq,train,training
97,real,ffhq,test,test
98,real,ffhq,train,training
99,real,ffhq,train,training
100,real,ffhq,train,validation
101,real,ffhq,train,training
102,real,ffhq,test,test
103,real,ffhq,train,training
104,real,ffhq,train,training
105,real,ffhq,train,training
106,real,ffhq,train,training
107,real,ffhq,train,training
108,real,ffhq,train,training
109,real,ffhq,test,test
110,real,ffhq,train,training
111,real,ffhq,train,training
112,real,ffhq,train,training
113,real,ffhq,train,validation
114,real,ffhq,test,test
115,real,ffhq,train,training
116,real,ffhq,train,training
117,real,ffhq,train,training
118,real,ffhq,train,training
119,real,ffhq,train,training
120,real,ffhq,train,training
121,real,ffhq,train,training
122,real,ffhq,train,training
123,real,ffhq,train,training
124,real,ffhq,train,training
125,real,ffhq,train,training
126,real,ffhq,test,test
127,real,ffhq,train,training
128,real,ffhq,train,training
129,real,ffhq,test,test
130,real,ffhq,train,training
131,real,ffhq,train,training
132,real,ffhq,train,training
133,real,ffhq,train,training
134,real,ffhq,train,training
135,real,ffhq,train,training
136,real,ffhq,train,training
137,real,ffhq,train,training
138,real,ffhq,test,test
139,real,ffhq,train,training
140,real,ffhq,train,training
141,real,ffhq,train,training
142,real,ffhq,test,test
143,real,ffhq,train,training
144,real,ffhq,train,validation
145,real,ffhq,train,training
146,real,ffhq,train,training
147,real,ffhq,train,training
148,real,ffhq,train,training
149,real,ffhq,train,training
150,real,ffhq,train,training
151,real,ffhq,train,training
152,real,ffhq,train,training
153,real,ffhq,test,test
154,real,ffhq,train,validation
155,real,ffhq,test,test
156,real,ffhq,train,training
157,real,ffhq,train,training
158,real,ffhq,train,training
159,real,ffhq,train,training
160,real,ffhq,train,training
161,real,ffhq,test,test
162,real,ffhq,train,validation
163,real,ffhq,train,training
164,real,ffhq,train,validation
165,real,ffhq,train,training
166,real,ffhq,train,training
167,real,ffhq,train,training
168,real,ffhq,train,training
169,real,ffhq,train,training
170,real,ffhq,train,training
171,real,ffhq,train,training
172,real,ffhq,train,training
173,real,ffhq,train,validation
174,real,ffhq,train,training
175,real,ffhq,test,test
176,real,ffhq,train,training
177,real,ffhq,test,test
178,real,ffhq,train,training
179,real,ffhq,train,training
180,real,ffhq,train,training
181,real,ffhq,train,validation
182,real,ffhq,train,training
183,real,ffhq,train,training
184,real,ffhq,train,training
185,real,ffhq,train,training
186,real,ffhq,train,training
187,real,ffhq,train,training
188,real,ffhq,train,training
189,real,ffhq,train,training
190,real,ffhq,train,training
191,real,ffhq,train,training
192,real,ffhq,train,training
193,real,ffhq,train,training
194,real,ffhq,train,training
195,real,ffhq,test,test
196,real,ffhq,train,training
197,real,ffhq,train,training
198,real,ffhq,test,test
199,real,ffhq,train,validation
200,real,ffhq,train,training
201,real,ffhq,train,validation
202,real,ffhq,test,test
203,real,ffhq,test,test
204,real,ffhq,test,test
205,real,ffhq,train,validation
206,real,ffhq,train,training
207,real,ffhq,train,validation
208,real,ffhq,train,training
209,real,ffhq,train,training
210,real,ffhq,test,test
211,real,ffhq,train,validation
212,real,ffhq,train,validation
213,real,ffhq,train,training
214,real,ffhq,train,training
215,real,ffhq,train,training
216,real,ffhq,train,training
217,real,ffhq,train,training
218,real,ffhq,train,training
219,real,ffhq,train,training
220,real,ffhq,train,validation
221,real,ffhq,train,training
222,real,ffhq,train,training
223,real,ffhq,train,training
224,real,ffhq,train,training
225,real,ffhq,train,training
226,real,ffhq,test,test
227,real,ffhq,train,training
228,real,ffhq,train,training
229,real,ffhq,test,test
230,real,ffhq,train,validation
231,real,ffhq,train,validation
232,real,ffhq,train,training
233,real,ffhq,train,training
234,real,ffhq,train,validation
235,real,ffhq,train,training
236,real,ffhq,train,training
237,real,ffhq,train,training
238,real,ffhq,train,training
239,real,ffhq,train,training
240,real,ffhq,train,training
241,real,ffhq,train,training
242,real,ffhq,train,training
243,real,ffhq,train,validation
244,real,ffhq,train,training
245,real,ffhq,test,test
246,real,ffhq,test,test
247,real,ffhq,train,training
248,real,ffhq,train,training
249,real,ffhq,train,training
250,real,ffhq,test,test
251,real,ffhq,test,test
252,real,ffhq,test,test
253,real,ffhq,train,training
254,real,ffhq,test,test
255,real,ffhq,train,training
256,real,ffhq,train,training
257,real,ffhq,test,test
258,real,ffhq,train,training
259,real,ffhq,train,training
260,real,ffhq,train,validation
261,real,ffhq,train,training
262,real,ffhq,test,test
263,real,ffhq,train,training
264,real,ffhq,train,training
265,real,ffhq,train,validation
266,real,ffhq,train,training
267,real,ffhq,train,training
268,real,ffhq,test,test
269,real,ffhq,train,validation
270,real,ffhq,test,test
271,real,ffhq,train,training
272,real,ffhq,train,training
273,real,ffhq,train,training
274,real,ffhq,train,training
275,real,ffhq,train,training
276,real,ffhq,train,training
277,real,ffhq,train,validation
278,real,ffhq,train,training
279,real,ffhq,train,validation
280,real,ffhq,train,validation
281,real,ffhq,train,training
282,real,ffhq,train,training
283,real,ffhq,train,validation
284,real,ffhq,test,test
285,real,ffhq,train,training
286,real,ffhq,train,training
287,real,ffhq,test,test
288,real,ffhq,train,training
289,real,ffhq,train,training
290,real,ffhq,train,training
291,real,ffhq,train,training
292,real,ffhq,train,training
293,real,ffhq,test,test
294,real,ffhq,test,test
295,real,ffhq,train,training
296,real,ffhq,train,training
297,real,ffhq,train,training
298,real,ffhq,train,training
299,real,ffhq,test,test
300,real,ffhq,train,training
301,real,ffhq,train,training
302,real,ffhq,train,training
303,real,ffhq,train,training
304,real,ffhq,train,training
305,real,ffhq,train,training
306,real,ffhq,train,training
307,real,ffhq,train,validation
308,real,ffhq,train,validation
309,real,ffhq,train,training
310,real,ffhq,train,training
311,real,ffhq,train,training
312,real,ffhq,train,training
313,real,ffhq,test,test
314,real,ffhq,train,training
315,real,ffhq,train,validation
316,real,ffhq,train,training
317,real,ffhq,train,training
318,real,ffhq,train,training
319,real,ffhq,train,training
320,real,ffhq,train,training
321,real,ffhq,train,training
322,real,ffhq,train,training
323,real,ffhq,train,training
324,real,ffhq,train,training
325,real,ffhq,test,test
326,real,ffhq,train,training
327,real,ffhq,train,training
328,real,ffhq,train,training
329,real,ffhq,train,training
330,real,ffhq,train,training
331,real,ffhq,test,test
332,real,ffhq,train,training
333,real,ffhq,train,training
334,real,ffhq,test,test
335,real,ffhq,train,training
336,real,ffhq,train,training
337,real,ffhq,train,training
338,real,ffhq,train,training
339,real,ffhq,test,test
340,real,ffhq,test,test
341,real,ffhq,train,training
342,real,ffhq,train,training
343,real,ffhq,train,training
344,real,ffhq,train,training
345,real,ffhq,train,training
346,real,ffhq,test,test
347,real,ffhq,train,training
348,real,ffhq,train,training
349,real,ffhq,train,training
350,real,ffhq,train,training
351,real,ffhq,train,training
352,real,ffhq,test,test
353,real,ffhq,train,training
354,real,ffhq,train,training
355,real,ffhq,train,training
356,real,ffhq,train,training
357,real,ffhq,train,training
358,real,ffhq,train,training
359,real,ffhq,test,test
360,real,ffhq,train,training
361,real,ffhq,train,training
362,real,ffhq,train,training
363,real,ffhq,train,training
364,real,ffhq,train,training
365,real,ffhq,test,test
366,real,ffhq,train,validation
367,real,ffhq,test,test
368,real,ffhq,train,training
369,real,ffhq,test,test
370,real,ffhq,test,test
371,real,ffhq,train,training
372,real,ffhq,train,training
373,real,ffhq,train,validation
374,real,ffhq,train,training
375,real,ffhq,train,training
376,real,ffhq,train,training
377,real,ffhq,train,training
378,real,ffhq,train,training
379,real,ffhq,train,training
380,real,ffhq,train,training
381,real,ffhq,test,test
382,real,ffhq,train,training
383,real,ffhq,train,training
384,real,ffhq,train,training
385,real,ffhq,train,training
386,real,ffhq,train,training
387,real,ffhq,train,training
388,real,ffhq,train,training
389,real,ffhq,train,training
390,real,ffhq,train,training
391,real,ffhq,train,training
392,real,ffhq,train,training
393,real,ffhq,train,training
394,real,ffhq,test,test
395,real,ffhq,test,test
396,real,ffhq,train,training
397,real,ffhq,train,training
398,real,ffhq,train,validation
399,real,ffhq,train,training
400,real,ffhq,train,training
401,real,ffhq,test,test
402,real,ffhq,train,training
403,real,ffhq,train,training
404,real,ffhq,train,training
405,real,ffhq,train,training
406,real,ffhq,test,test
407,real,ffhq,train,training
408,real,ffhq,train,training
409,real,ffhq,train,training
410,real,ffhq,train,training
411,real,ffhq,train,training
412,real,ffhq,train,validation
413,real,ffhq,train,training
414,real,ffhq,train,training
415,real,ffhq,train,validation
416,real,ffhq,train,training
417,real,ffhq,test,test
418,real,ffhq,train,training
419,real,ffhq,test,test
420,real,ffhq,test,test
421,real,ffhq,train,training
422,real,ffhq,test,test
423,real,ffhq,train,training
424,real,ffhq,train,training
425,real,ffhq,test,test
426,real,ffhq,train,validation
427,real,ffhq,train,training
428,real,ffhq,train,training
429,real,ffhq,train,training
430,real,ffhq,train,training
431,real,ffhq,train,training
432,real,ffhq,train,training
433,real,ffhq,train,training
434,real,ffhq,train,training
435,real,ffhq,test,test
436,real,ffhq,train,training
437,real,ffhq,train,training
438,real,ffhq,train,training
439,real,ffhq,train,training
440,real,ffhq,train,validation
441,real,ffhq,train,training
442,real,ffhq,train,training
443,real,ffhq,train,training
444,real,ffhq,test,test
445,real,ffhq,test,test
446,real,ffhq,train,validation
447,real,ffhq,train,training
448,real,ffhq,test,test
449,real,ffhq,train,training
450,real,ffhq,train,training
451,real,ffhq,train,validation
452,real,ffhq,train,training
453,real,ffhq,test,test
454,real,ffhq,train,training
455,real,ffhq,train,training
456,real,ffhq,train,validation
457,real,ffhq,train,training
458,real,ffhq,train,training
459,real,ffhq,test,test
460,real,ffhq,test,test
461,real,ffhq,train,training
462,real,ffhq,train,training
463,real,ffhq,train,training
464,real,ffhq,test,test
465,real,ffhq,train,training
466,real,ffhq,train,training
467,real,ffhq,train,training
468,real,ffhq,train,training
469,real,ffhq,test,test
470,real,ffhq,train,training
471,real,ffhq,train,training
472,real,ffhq,test,test
473,real,ffhq,train,training
474,real,ffhq,test,test
475,real,ffhq,test,test
476,real,ffhq,test,test
477,real,ffhq,train,training
478,real,ffhq,test,test
479,real,ffhq,train,validation
480,real,ffhq,train,training
481,real,ffhq,train,training
482,real,ffhq,test,test
483,real,ffhq,train,training
484,real,ffhq,train,training
485,real,ffhq,test,test
486,real,ffhq,train,training
487,real,ffhq,train,validation
488,real,ffhq,train,training
489,real,ffhq,train,training
490,real,ffhq,train,training
491,real,ffhq,test,test
492,real,ffhq,train,training
493,real,ffhq,test,test
494,real,ffhq,train,training
495,real,ffhq,train,training
496,real,ffhq,train,training
497,real,ffhq,test,test
498,real,ffhq,train,training
499,real,ffhq,test,test
500,real,ffhq,train,validation
501,real,ffhq,train,training
502,real,ffhq,train,training
503,real,ffhq,train,training
504,real,ffhq,train,training
505,real,ffhq,train,training
506,real,ffhq,test,test
507,real,ffhq,train,training
508,real,ffhq,train,validation
509,real,ffhq,train,training
510,real,ffhq,test,test
511,real,ffhq,test,test
512,real,ffhq,train,training
513,real,ffhq,train,training
514,real,ffhq,train,training
515,real,ffhq,test,test
516,real,ffhq,test,test
517,real,ffhq,train,training
518,real,ffhq,train,validation
519,real,ffhq,train,training
520,real,ffhq,train,training
521,real,ffhq,train,training
522,real,ffhq,test,test
523,real,ffhq,train,training
524,real,ffhq,train,training
525,real,ffhq,train,training
526,real,ffhq,test,test
527,real,ffhq,train,validation
528,real,ffhq,train,training
529,real,ffhq,train,training
530,real,ffhq,train,training
531,real,ffhq,train,training
532,real,ffhq,test,test
533,real,ffhq,train,training
534,real,ffhq,train,training
535,real,ffhq,train,training
536,real,ffhq,train,training
537,real,ffhq,train,training
538,real,ffhq,train,training
539,real,ffhq,train,training
540,real,ffhq,train,training
541,real,ffhq,test,test
542,real,ffhq,train,training
543,real,ffhq,train,training
544,real,ffhq,train,training
545,real,ffhq,train,training
546,real,ffhq,train,training
547,real,ffhq,test,test
548,real,ffhq,test,test
549,real,ffhq,test,test
550,real,ffhq,train,training
551,real,ffhq,train,validation
552,real,ffhq,train,training
553,real,ffhq,train,training
554,real,ffhq,train,training
555,real,ffhq,train,validation
556,real,ffhq,train,training
557,real,ffhq,train,training
558,real,ffhq,train,training
559,real,ffhq,train,training
560,real,ffhq,train,training
561,real,ffhq,train,validation
562,real,ffhq,test,test
563,real,ffhq,test,test
564,real,ffhq,train,training
565,real,ffhq,train,training
566,real,ffhq,train,training
567,real,ffhq,train,training
568,real,ffhq,train,validation
569,real,ffhq,train,training
570,real,ffhq,train,training
571,real,ffhq,test,test
572,real,ffhq,train,training
573,real,ffhq,train,training
574,real,ffhq,train,training
